X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-75.616568140182594,4.939147359101172,99,2902,0,0,TARAPACÁ I,CONCESION ANI,RISARALDA,4.93914736,-75.61656814,10800,14100,35500,47000,52500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Romelia - Río Campo Alegre,14100,14100,2
-73.706400107749886,3.633042756702019,100,6509,0,0,IRACÁ,CONCESION ANI,META,3.63304276,-73.70640011,9000,23800,35400,47200,51300,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Ye de Granada - Paso por el Puente sobre el Río Ocoa,18100,13600,2
-74.02887144268135,4.835412256266786,101,45A04,0,0,FUSCA,CONCESION ANI,CUNDINAMARCA,4.83541226,-74.02887144,8100,20300,30800,39800,44000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Ubaté,13900,8900,2
-75.598820273336258,5.048648256342085,102,29CL03,0,0,SANTAGUEDA,CONCESION ANI,CALDAS,5.04864826,-75.59882027,9700,11700,28600,35000,41500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Chinchiná - La Manuela,11700,11700,2
-75.515513553785951,6.327847693846425,103,6004,0,0,GUARNE,CONCESION ANI,ANTIOQUIA,6.32784769,-75.51551355,11000,19200,38500,52300,55000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellín - Santuario,17100,15400,2
-72.169319810484083,4.351343059785918,104,4008,0,0,YUCAO,CONCESION ANI,META,4.35134306,-72.16931981,11800,31300,46500,61300,70100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puerto López - Puerto Gaitán,23500,18700,2
-74.03148118243071,4.855360192510847,105,45A04,0,0,TELETÓN,CONCESION ANI,CUNDINAMARCA,4.85536019,-74.03148118,8100,20300,30800,39800,44000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Ubaté,13900,8900,2
-75.243039627756886,6.124607097966643,106,6005,0,0,COCORNÁ,CONCESION ANI,ANTIOQUIA,6.1246071,-75.24303963,11000,19200,38500,52300,55000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Santuario - Cruce Ruta 45 (Caño Alegre),17100,15400,2
-77.284452435887786,1.425456082356924,107,2502,0,0,CANO,INVIAS,NARIÑO,1.42545608,-77.28445244,9300,0,0,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,San Juan de Pasto - Cano,10000,0,5
-74.033043927631567,4.830023885036674,108,5501,0,0,ANDES,CONCESION ANI,CUNDINAMARCA,4.83002389,-74.03304393,8100,20300,30800,39800,44000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Chocontá,13900,8900,2
